questionText,questionType,answerText,answerType,answerHelpfulness,Helpfulness_Target
does it tell what moves to make like a teacher,yesno,"You play with the cards down and when you flip it over, it tells you which piece to move and shows a diagram of how that piece moves. It is somewhat like a teacher, in that it shows how the pieces move. That is the focus, if the game is played with the cards, they will later figure out strategies. Here is a short video that depicts how it is played: http://www.youtube.com/watch?v=Vn0bMld-K9wHave a wonderful day!",Y,"[6, 6]",1
does it tell what moves to make like a teacher,yesno,"After learning chess with this, do you find you gradually move to being more of a master chess player if you really play this regularly? Then do you buy another real chess board?",NA,"[0, 1]",0
My 5yo already plays. Does this teach more advanced moves or just the basics?,descriptive,"It teaches only the basics regarding how the pieces move.  You can play a regular game of chess or use the cards provided in which case the cards will tell you what to move, there is no strategy involved when using the cards.",NA,"[4, 4]",1
My 5yo already plays. Does this teach more advanced moves or just the basics?,descriptive,"This is only to teach chess for those who don't play. if you know the basics, not for you.",NA,"[4, 4]",1
My 5yo already plays. Does this teach more advanced moves or just the basics?,descriptive,"Just the basics, we love it because we did not know how to play.",NA,"[2, 2]",1
"When I typed ""magnetic chess board"" in the search field, this set came up.  Does this set contain magnetic pieces/board?",descriptive,"I gave it to a teenager as a gift & have no contact w/them.  Therefore, I can't truthfully answer your question.",NA,"[0, 1]",0
I like the one pictured... is that the one I'll be getting?,yesno,"In my case, I have received exactly the product of the picture, same colors and details.",NA,"[2, 2]",1
I like the one pictured... is that the one I'll be getting?,yesno,"That's the one I got, it's awesome!",NA,"[2, 2]",1
I like the one pictured... is that the one I'll be getting?,yesno,It was the one that I got but the description said NO choice in the color you get.,NA,"[2, 2]",1
I like the one pictured... is that the one I'll be getting?,yesno,black was the color i got so maybe thats what your getting. its made very well and looks great on the coffee table,NA,"[2, 2]",1
Does this play on Leap Pad2,descriptive,we own the original leapster but from any knowledge that ive had I am about 90% sure they made the leapster two so it can still play all the old games. but a leap pad and leapster are two different components all together so a leapster2 yes a leap pad im gonna say no.,NA,"[1, 2]",0
Does this play on Leap Pad2,descriptive,Yes,NA,"[0, 1]",0
What size doll fits in cradle?,descriptive,Any size doll will fit. It is a good size. Probably max 2 1/2 ft tall doll,NA,"[2, 2]",1
What size doll fits in cradle?,descriptive,"Up to 21"" dolls fit comfortably, with a little space at the head and feet.",NA,"[2, 2]",1
What are the sizes of these cradles?,descriptive,Do not know. Already gave this cradle as a gift,NA,"[1, 2]",0
How large are the pieces,descriptive,The Pieces Are Much Smaller Than I Anticipated. The Cups Hold A Golf Ball Inside Of Them. They Are Very Difficult For A Small Child To Handle.,NA,"[3, 3]",1
How large are the pieces,descriptive,"They are fairly smaller than what I was imagining, but as far as playing with water, it's a good size for just pretend play.  I would in no way use it for hot chocolate like the picture suggests.  The cups are about 1 3/4 inches wide and about 1 1/4 inches tall.  The ""plates are about 2 inches wide.",NA,"[3, 3]",1
does it have the holes for the pump system?,yesno,Yes it does. One year we ordered the one that comes with the pump for about $50.00 more and it was not worth it. The pump is very weak and useless. We find that using a skimmer and adding about a cup of chlorine every day or two keeps it clean. And we empty it about every week or two and refill it will clean water. We also keep it covered with the Intex solar cover. Hope this was helpful. :-D,NA,"[2, 2]",1
"Is a pump really necessary for this pool? Or could I get away with no pump, daily skimming, and a chlorine floater when the pool is not being used?",descriptive,Short term yes you can do without but water is hard to maintain quality over long time and no filter means no oxygen in the water so it goes bad faster. Small water tester should let you know when its time to start over.,NA,"[2, 2]",1
"Is a pump really necessary for this pool? Or could I get away with no pump, daily skimming, and a chlorine floater when the pool is not being used?",descriptive,"I only used my pool for a month or so. It was just me, the water and the sun. So, I didn't get a pump skimmer. I used a chlorine floater and and hand held net skimmer to retrieve any debris. I also put the pool cover on it when not in use.  I had no problems at all without the pump skimmer.",NA,"[3, 3]",1
"Is a pump really necessary for this pool? Or could I get away with no pump, daily skimming, and a chlorine floater when the pool is not being used?",descriptive,"One year we had a pump. It was completely useless and brings the price of what I think of a ""disposable"" pool way up. This summer we got the one without the pump. It's the same deal. We keep it covered, add chlorine every day, and use a skimmer. We empty it and refill it every week or two. It has stayed pretty clean so far and it gets used on a regular basis. Our dog even likes to play in it. Hope this was helpful. :-D",NA,"[3, 3]",1
"If I lean my arms over the side while in the pool will it push down and pour out the water, or will the top support some of my weight?",descriptive,"If you 'push down' it will pour out water. If you are sitting in a chair outside of the pool and rest your ankles on the side of the pool, it will dip down almost to the point of over flowing. You can rest your head on it while in the pool and let your body float without it overflowing. You can rest your arms on the sides while in the pool but not pressing down very hard. Make sure the ground is level!!",NA,"[2, 2]",1
Can you use this pool without the filter?  Does the inlet and outlet holes have caps?,descriptive,"You can use it without the filter and yes, there are solid caps for both, so as not to leak.   If you choose just to scoop out debrit and use a small chlorine floater when kids aren't in it, you should be fine.  Small amount if chlorine is highly recommend, otherwise it will get slimy.   This holds a good amount of water ...you most likely don't want to refill it more than once every 8 weeks if it keeps clean.  Enjoy!",NA,"[2, 2]",1
Can a 26 pound kid sit on it? My son loves riding on vehicles. Not sure if this Bruder is sturdy enough.,descriptive,"Not a good idea, big sticker on top of truck no sitting. However boys will be boys and children will ignore the sticker.  My son tries to sit on it all the time and it does support the weight, it's a sturdy truck. The only thing is that it will tilt back sometimes if your child will sit to far back.",NA,"[2, 2]",1
Does the truck come with a man,descriptive,"Wish it did, but little boys will definitely like this toy!! Actually women can do the work just as well as a man  can, so you are better off not asking if it comes with a man, they come with a lot of baggage!!",NA,"[0, 1]",0
"Would this game be too much for a 6 year old? My nephew's 6th birthday is coming up and this year's theme is pirates.  I note that this game has won awards by ""Mensa"" and is recommended for ages 10 and up but I was just wondering if it would be too much for a 6 year old?  My other choice was the Black Pirates game by Haba but I'm not sure if that game is too young for him.  Any suggestions would be greatly appreciated for a bamboozled aunty!!",descriptive,Depends on the six year old.  My now six 1/2 year old regularly whips the extended family including his 9 yr old brother.  This has been one of our favorite family games (we got it 2 years ago).  Back then he played with another person but quickly moved on to solo play.  He gets math and likes to play stratego & rumis and other strategy games.  We love most of the gamewright games we have purchased.,NA,"[2, 3]",0
Is this a good game for adults,descriptive,"It absolutely is. We actually only play it with adults. The game is easy to learn, and relatively quick to play.",NA,"[2, 2]",1
How many players?   2-5?,descriptive,We've played with anywhere from 2 to 6... Might have even gone 7 before.,NA,"[2, 2]",1
How many players?   2-5?,descriptive,"yes; I played with my 2 grandkids, and a couple of times one of their parents played with us.  I think more can play, but there aren't a huge # of pieces.",NA,"[0, 1]",0
"We don't have much space in our apartment, but my husband really wants to get these for our daughter.  How/where do you store ALL of these blocks??",descriptive,"I am able to store them in a shelf 32"" long x 15"" high x 11 1/4"" deep.  I hope this is helpful.",NA,"[6, 6]",1
"We don't have much space in our apartment, but my husband really wants to get these for our daughter.  How/where do you store ALL of these blocks??",descriptive,"You can try storing in a laundry hamper. There are many different sized, inexpensive hampers at places like Walmart and Target. Children absolutely love these bricks; so they are so worth buying!",NA,"[3, 3]",1
"We don't have much space in our apartment, but my husband really wants to get these for our daughter.  How/where do you store ALL of these blocks??",descriptive,"They all stack up neatly in a space that is about two foot wide and one foot from the wall. I guess they might be two foot tall with all the yellow ones on top. Right now they're still all mixed up from yesterday. Very durable blocks, just like the ones at school. I think they all fit into a regular sized laundry basket. I hope this helps.",NA,"[4, 5]",0
"We don't have much space in our apartment, but my husband really wants to get these for our daughter.  How/where do you store ALL of these blocks??",descriptive,All of the small yellow blocks fit right in the box and then we stack up the rest in a corner.  It takes up less space than I thought it would.,NA,"[2, 2]",1
"We don't have much space in our apartment, but my husband really wants to get these for our daughter.  How/where do you store ALL of these blocks??",descriptive,"We just stack them by the window where we have a shelf for toys. Doesn't fit on the shelf, but when they're stacked up neatly against the wall, it doesn't look like it takes up that much space and is not cluttered. . . although they are very accessible for little hands to grab and go. Hope that helps",NA,"[2, 3]",0
"We don't have much space in our apartment, but my husband really wants to get these for our daughter.  How/where do you store ALL of these blocks??",descriptive,Now I have the blocks stacked in the bottom of a toy closet but before when we had less space I just stacked them against the wall.  It was nice b/c the kids had easy access to them but then of course there were blocks everywhere all the time.,NA,"[2, 3]",0
actual size of each block,descriptive,there are like four different sizes,NA,"[0, 2]",0
"How sturdy is this toy?  I know my sons would love this, but they are very active and not gentle with toys!  Any advice?  Thanks!",descriptive,VERY sturdy!  My daughter is very active and can be destructive and they are still perfectly in tact.  We have had them for about 9 months now and she plays with them almost every day.,NA,"[2, 2]",1
White queen is at the wrong square?,descriptive,"No, queen goes into its own color.",NA,"[1, 2]",0
"Some pictures show brown and beige, others show dark brown and cream. Which is it?",descriptive,The dark color is a deep reddish mahogany brown.  The light color is more of a light tan.  It isn't what I would describe as white or cream.  It is a lovely set and we are very happy with it.  Looks better in person than in the picture,NA,"[2, 2]",1
"Some pictures show brown and beige, others show dark brown and cream. Which is it?",descriptive,I think dark brown and cream best describes the set I received. The dark pieces are dark brown and not the reddish brown that some of the pictures seem to show. The light pieces I think could be described as beige or cream. Either way I like the set alot and have received many compliments on it. I liked it so much I bought the larger Ambassador set that I like even more.,NA,"[3, 3]",1
"Some pictures show brown and beige, others show dark brown and cream. Which is it?",descriptive,Mine is dark brown and cream. I think they compliment each other. Hope this helps Victor.,NA,"[2, 2]",1
Can this be packed up and put away in a game closet when not in use?,descriptive,haven't opened it yet it's wrapped sitting under our tree,NA,"[0, 2]",0
What are the correct dimensions? The Product details and product description differ by a lot!,descriptive,"sorry, Michael G.  We returned the item in question and can't answer that question for you.   The item is NOT huggable (the head is hard, the fur is not soft, and the lion is rigidly posed).  I recommend looking for something else if you are looking for something for a child.",NA,"[1, 2]",0
What are the correct dimensions? The Product details and product description differ by a lot!,descriptive,75 x 19 x 22 inches ; 8 pounds That is a better discription.  It stretches over halfway accross the dashboard of my RV.,NA,"[0, 1]",0
What are the correct dimensions? The Product details and product description differ by a lot!,descriptive,On including the tail of the lion the product detail dimensions seem closer to reality. I haven't measured the lion with a tape measure.,NA,"[0, 2]",0
Why is the right arm longer?,descriptive,"I think that is just the way the picture was taken.  The one I purchased for my grandson, has the legs both the same length.",NA,"[0, 1]",0
will this wagon. pull through sand?,yesno,Yes the wheels rotate as well as turn so they work in sand well.,Y,"[1, 2]",0
what r measurements?,descriptive,"Sorry, can't help. It was stolen from my grandchildren's front yard. I can tell you they loved it, and three small boys fit in nicely. Rode around a lot. Sad not to have it. Could have passed it on to my 3-1/2 year old. My son-in-law assembled it on their front lawn, and the boys were so excited - and really did help...some. Sturdy.",NA,"[0, 1]",0
Are the pieces wood or plastic?,descriptive,they are wood.. what kind of wood.. not sure. This is a light weight set.. for sure.,NA,"[2, 2]",1
Are pieces weighted?   Are pieces made of what woods?,descriptive,Pieces are wood. They are not weighted and are poorly made.,NA,"[3, 3]",1
Are pieces weighted?   Are pieces made of what woods?,descriptive,"No, they are not.  purchased some washers at the hardware store, felt stick ons, and added them to each of the bases of the pieces.  They now have a nice weight and produce a satisfying thud when placed on the board.  I know, a lot of work for a chess board, but once it's done, it's pretty nice.",NA,"[2, 2]",1
Will it tumble fist-sized rocks?  Thanks.,descriptive,"yes, I put one or two in with smaller rocks as filler",NA,"[2, 2]",1
Will it tumble fist-sized rocks?  Thanks.,descriptive,"Yes, but not more than 3 or 4 efficiently. And expect to tumble a long time without a proper aggregate.",NA,"[2, 2]",1
what are the interior dimensions of the drum?,descriptive,"7.5"" at the widest dimension ... 6.5"" at the narrowest",NA,"[2, 2]",1
what are the interior dimensions of the drum?,descriptive,"... About 8"" deep",NA,"[2, 2]",1
what are the interior dimensions of the drum?,descriptive,"If you're looking for the cleanest brass inside and out, you can't go wrong with this unit, also your not breathing leaded dust and or handling contaminated media, all the dirty stuff goes down the drain, that in itself is 4 stars for your health! Now according to the directions the HD model has a 15 lb limit, now here's how that breaks down, 1-gallon water approx 8lbs, 5lbs of stainless steal tumbling pins, Tbl Spn of dawn dish soap and Tbl Spn of Lemi-shine, you are able to clean approx: 193 (9mm) cases or 168 (38Spl) cases or 157 (357 Mag) cases or 163 (40S&W;) cases or 129 (45ACP) cases or 121 (223Rem) cases or 110 (308Win) cases, now these numbers can be adjusted if you use less water, staying within that 15lb limit, on average 2-3 hours of tumbling will give you the cleanest and shiniest brass and you will live longer to tell about it..",NA,"[2, 2]",1
what are the interior dimensions of the drum?,descriptive,"7"" cir  and 8"" deep",NA,"[1, 2]",0
Is this the higher rpm version?,descriptive,"Model B Heavy Duty turns at a good rate of speed, with 1gal of H2o, 2lbs of pellets and I use a  2 liter soda bottle cut in a little over half filled with brass, works wonderful don't forget the Lemi-shine and dawn dish soap, the can can get heavy, be careful not to overload it with brass, I run it  2-4 hours and  primer pockets are clean, occasional stuck pin or two that needs to be removed, I love hand  loading clean brass so much easier to inspect, overall very pleased with wet tumbling, I wish I would have started with this as opposed to the dry media tumbler method...",NA,"[2, 2]",1
what is the rmp?,descriptive,"I believe that is RPM, Rotations/Revolutions Per Minute.",NA,"[0, 2]",0
Is it made in Germany or in China?,descriptive,I do not know for sure. I've bought this teddy bear three times and never checked a tag on it. but quality of this toy is really good!,NA,"[0, 1]",0
"Is this SPECIFIC bear made in Germany? I saw a related question, but the answers seemed unclear. Thanks!",descriptive,I throw away the trademark so I don't know.,NA,"[0, 1]",0
"Is this SPECIFIC bear made in Germany? I saw a related question, but the answers seemed unclear. Thanks!",descriptive,Steiff is a very traditional brand for teddy bears in Germany and has accompanied many of us for many years ;-),NA,"[0, 1]",0
What is the size?,descriptive,it's just the size of an average teddy bear and the suitcase is big enough to put the teddy bear in! Hope this helps!,NA,"[0, 1]",0
What is the size?,descriptive,"I don't remember exactly. Since I purchased this as a gift, I don't have it to measure. I remember it on the smallish side. Not too small though. Perfect size for small hands. I would agree with the previous answer--about 11 inches.",NA,"[0, 1]",0
Can leapster games be used in LMax? Are leapster games compatible with LMax?,descriptive,"Yes, all Leapster games will work in the L-Max, but the L-Max games won't work in the regular Leapster.  I bought the L-Max for that very reason, but was disappointed to see that most of the L-Max games have a plain old Leapster version that is identical -- except regular Leapster games are about $5 cheaper!",NA,"[5, 6]",0
Can leapster games be used in LMax? Are leapster games compatible with LMax?,descriptive,Yes - all leapster games work on all leapster systmes - I called customer service!  You can also go on www.leapfrog.com and search leapster and it answers hundreds of questions about leapster including this one!,NA,"[3, 3]",1
"How sturdy and durable is this toy, really? My son really wants this toy, but I am concerned that it will be flimsy.  I'd like to know from someone who who has one how sturdy it really is.  I've seen similar toys that fall to pieces when you look at them cross-eyed.  I'd really like to know that it will stay together.  Anyone have one?",descriptive,I beg to differ.  I bought two of these as gifts. And I tried it out and it worked fine. It is made of sturdy bendable plastic and magnetic connections. I used it on the living room rug also. But you must have the magnetic connections touching head-on. Which is really easily done. This is an amazingly interesting toy! It is well made and constructed. Buy it!,NA,"[2, 2]",1
"How sturdy and durable is this toy, really? My son really wants this toy, but I am concerned that it will be flimsy.  I'd like to know from someone who who has one how sturdy it really is.  I've seen similar toys that fall to pieces when you look at them cross-eyed.  I'd really like to know that it will stay together.  Anyone have one?",descriptive,I just bought this toy and it isnt very sturdy,NA,"[3, 4]",0
"How sturdy and durable is this toy, really? My son really wants this toy, but I am concerned that it will be flimsy.  I'd like to know from someone who who has one how sturdy it really is.  I've seen similar toys that fall to pieces when you look at them cross-eyed.  I'd really like to know that it will stay together.  Anyone have one?",descriptive,"Thanks!  I ended up buying it, so I hope my son enjoys it!",NA,"[1, 3]",0
We just received this piano and the sun doesn't move at all and the metronome does nothing. Is it the newer version or did we receive a broken unit?,descriptive,"We received one for Christmas and the sun and metronome did not work. The first time I called the company they did not have an explanation. We returned and got another, but again the sun and metronome did not work. This time the company said that they changed it so the sun and note no longer work (as of Dec. 30, 2013). So disappointing :(",NA,"[3, 3]",1
"silly question but is it possible to take the legs off after you put it together? if so, how!? thank you;)",descriptive,"Don't know about the legs, but both of my 2 year old granddaughters LOVED their baby grand pianos!",NA,"[0, 2]",0
"silly question but is it possible to take the legs off after you put it together? if so, how!? thank you;)",descriptive,I really couldn't answer that.,NA,"[0, 2]",0
"Product price THis product is $45 on ToysRUS.com, why so much here?",descriptive,Yeah..no way on God'sGreenEarth can this toy cost $250.00 bucks!!!!!! Amazon needs to do some fixing...on this & I have noticed it on other items as well.....or serious price gousing laws are going to hit them...that is if anyone was stupid enough to actually purchase!!!!!,NA,"[1, 2]",0
BRANDS OF CLOTHES THAT FIT,descriptive,Groovy Girls clothes fit fine (except for the shoes).,NA,"[2, 2]",1
BRANDS OF CLOTHES THAT FIT,descriptive,"oh gee, I don't know that... I purchased the doll for a gift. It is a cute doll with a slightly darker complexion. If you want me to measure the doll or the clothes let me know and I will send that information to you right away!",NA,"[0, 1]",0
"How long does it last?  If I make it at night to surprise the kids for Christmas morning, will it still be fluffy in the morning or dried up?",descriptive,Mostly fluffy. You can also stick it in the freezer after you've made it and it lasts forever.,NA,"[3, 3]",1
"How long does it last?  If I make it at night to surprise the kids for Christmas morning, will it still be fluffy in the morning or dried up?",descriptive,It will still be fluffy in the morning but a little chilly. It is probably best to get up a little early and set it up right before they get up. That is the best consistency.,NA,"[2, 2]",1
Can I use this on my racquetballs?  (this one does 3 where the other one only does 2),descriptive,Certainly you could but I'm not sure if it'd be as effective since more air will be in the container due to the racquetballs being smaller than the tennis balls.,NA,"[2, 2]",1
Can I use this on my racquetballs?  (this one does 3 where the other one only does 2),descriptive,no. this only works with tennis balls. they sell a different ball saver for racquetballs which is smaller than this one.,NA,"[2, 2]",1
How do you open it?,descriptive,"It's a two-piece container--As shown in the picture, the yellow part is the lid, and the white part (at the bottom) is the body.  Open it by unscrewing the lid from the body, same direction (counterclockwise) as a glass jar.  Then you'll see the screw threads and the O-ring that maintains the pressure.  Hope this helps!",NA,"[2, 2]",1
How many balls does one can hold?,descriptive,The canister holds 3 balls.  This item works very well.,NA,"[1, 2]",0
How many balls does one can hold?,descriptive,"3 balls, I used the same product 25 yrs ago when I was poor and needed to milk every once of life out of a can.",NA,"[1, 2]",0
is this size right for adult?,yesno,"Yes, perfect for an adult",Y,"[0, 1]",0
Do Baby Stella outfits fit these dolls?,descriptive,"I apologize but I don't know, I bought these dolls as gifts.",NA,"[0, 4]",0
Do Baby Stella outfits fit these dolls?,descriptive,I have no idea!  Sorry!,NA,"[0, 4]",0
Will newborn baby clothes fit this doll?,descriptive,"No, and the preemie outfits we tried on it were a little bit too big, too.",NA,"[2, 2]",1
Is the house made of solid wood or mdf/veneer?,descriptive,"The large panels are made from a ply wood type  material.All the smaller parts are solid wood, also all the furniture pieces are solid wood.This is a VERY nice, well constructed doll house.I would recommend this to anyone.",NA,"[1, 2]",0
How many pieces?,descriptive,There are at least 100 pieces.  I have not counted them.  The grandkids won't give me a chance.  They're too busy enjoying themselves building things.,NA,"[0, 1]",0
Country of origin?,descriptive,"if u mean built I am not sure, but, shipped US.. I want to say China.  My son loves it.. he uses it with Star Wars figures or just stacking.  Its good quality, BUT, if lands on your foot or his OWCH... this is real wood.  But, I think China",NA,"[1, 3]",0
Country of origin?,descriptive,"I'm afraid that I don't know for sure, but there are pillars that my grandson uses as Roman and Greek Columns along with arches for aqueducts. We love this set.CS",NA,"[0, 2]",0
Country of origin?,descriptive,US,NA,"[0, 3]",0
Country of origin?,descriptive,"These were a gift a couple if years ago, so I don't have any way to get that information - Sorry! I CAN tell you that they're top quality and well- loved.",NA,"[0, 3]",0
Country of origin?,descriptive,Awesome!! but don't know where are made,NA,"[0, 3]",0
What are the dimensions of the blocks?,descriptive,They fit with standard large kids blocks.,NA,"[2, 6]",0
What are the dimensions of the blocks?,descriptive,"Hi, The blocks come in many different shapes. The longest is 6"" and the shortest about 3""x 2"". They are very well built- real quality. Our 7 year old grandson and 9 year old granddaughter enjoy playing with them.",NA,"[0, 1]",0
What are the dimensions of the blocks?,descriptive,"Hi , I gave the blocks to my grandchildren 2 years ago. I don't see them on regular basis. They are good size for children's hands. Their not tiny. they are good size, but not great big. My grandchildren love playing with the blocks. I don't know the dimensions.",NA,"[0, 2]",0
This looks identical to the cheaper Slinky type except for the earphones. Is it the same?,descriptive,It doesn't work very good at all,NA,"[2, 2]",1
This looks identical to the cheaper Slinky type except for the earphones. Is it the same?,descriptive,"I never could get mine to work.  Probably cheap Chinese manufacture.  I returned mine in the manor described but never heard anything back, so I just accepted the loss.",NA,"[2, 2]",1
This looks identical to the cheaper Slinky type except for the earphones. Is it the same?,descriptive,"Yes, it is.  Real listeners are available on spy sites for professionals and they are much more expensive.   usually over $500 or $1000.",NA,"[2, 3]",0
This looks identical to the cheaper Slinky type except for the earphones. Is it the same?,descriptive,I don't know if it is the same. I purchased mine to use in my paranormal investigating. I use it to hear better while doing investigations.,NA,"[1, 2]",0
WHAT ARE CUSTOMER REVIEWS,descriptive,I have had 2 of these. Neither one worked properly. Don't waste your money.,NA,"[2, 2]",1
"Hi everyone! I have this toy and my baby loves it.  My only thought, is the paint non-toxic?",yesno,"The manufacturer's web site: http://www.manhattantoy.com/p/skwish-classic , states that the toy is painted with water based, non-toxic paint.",NA,"[11, 11]",1
"Hi everyone! I have this toy and my baby loves it.  My only thought, is the paint non-toxic?",yesno,"I'm not sure if the paint is toxic or not, however I believe it wouldn't be toxic. Plus, my baby licked, chewed, & any other possible way she could get it in her mouth & she is perfectly fine. I wouldn't worry about it it is a babies toy for goodness sake",NA,"[0, 17]",0
Does this have a bell on it?,descriptive,The Manhattan Toy Company Skwish toy is my favorite baby shower gift to give. The last few I purchased have not had bells on them. I have purchased the natural colored Skwish and primary colored ones and neither colors have had bells. The first Skwish I purchased for my son 13 years ago did have a bell and was a little smaller in size. Have not seen that feature since then.,NA,"[2, 2]",1
Where is it made?,descriptive,Thailand,NA,"[3, 3]",1
Where is it made?,descriptive,"Sorry, I don't know where it is made and the toy is at a student's home so I don't have it available to look.",NA,"[0, 2]",0
age,descriptive,I got this for my four year old for her birthday and she does great with it as long as shes supervised... she also has a younger sister who will destroy it if left alone but other than that its awesome! But I wouldn't go any younger.,NA,"[5, 5]",1
age,descriptive,My niece is 6.,NA,"[3, 4]",0
what age is this for?,descriptive,"I would guess that for typically developing children, ages 3-6 would be the target range. They're not the smaller size generally found in plastic alpha beads. They're large enough for little fingers to manipulate and for them to enjoy beading without adult assistance. I hope that helps.",NA,"[2, 2]",1
How many laces comes in this box of beads?,descriptive,Pretty sure it's ten laces. My daughter quickly lost a few.,NA,"[3, 3]",1
How many laces comes in this box of beads?,descriptive,Ten sounds right.,NA,"[3, 3]",1
How many laces comes in this box of beads?,descriptive,Ann I am so sorry bought this as a gift for my granddaughter wrapped it up and gave it to her so I don't know,NA,"[0, 2]",0
"How many ""Strings"" comes with this set? I want to do this with a group and would like to order enough for everyone.",descriptive,"Sorry, I'm not sure as I gave it as a gift.",NA,"[0, 1]",0
How large are the beads?,descriptive,I haven't seen the beads - I had them sent to a grandchild in Alaska.,NA,"[0, 1]",0
What size is this bear from head to bottom of feet?,descriptive,The bear is always in the sitting position.  From the top of the head to the floor is 24 inches.  From the back to the end of the feet is also 24 inches.,NA,"[2, 2]",1
What size is this bear from head to bottom of feet?,descriptive,"I'm not using a measuring device; but, it's about 3' tall and about 2-1/2' wide.. That's while sitting. My Granddaughter, age 10, loves it; and, she trys to carry it..haha it's about her size or bigger. Nice bear.",NA,"[0, 1]",0
What size is this bear from head to bottom of feet?,descriptive,"i think it was 3-4 feet don't remember to much it was a gift, but it was big.",NA,"[0, 1]",0
What size is this bear from head to bottom of feet?,descriptive,around 3 or 4 feet but it looks huge,NA,"[0, 1]",0
Is it thin enough in diameter for stringing .9mm beads?,descriptive,Yes its the best type of string,NA,"[2, 2]",1
can I use this one in a sewing machine? I ask is because I saw it a little bigger then normally i bought. Thank you,yesno,I don't sew. I bought this for beading so I don't know. I'm sorry. Kim,NA,"[1, 2]",0
can I use this one in a sewing machine? I ask is because I saw it a little bigger then normally i bought. Thank you,yesno,delivered tonight beads are both on the back porch to the left of the turkeks,NA,"[0, 3]",0
can I use this one in a sewing machine? I ask is because I saw it a little bigger then normally i bought. Thank you,yesno,I have been sick for all most all week. I will try to get elastic to tommorow.,NA,"[0, 3]",0
can I use this one in a sewing machine? I ask is because I saw it a little bigger then normally i bought. Thank you,yesno,"yes,I will bring it to the rescue tomorrow.",NA,"[0, 3]",0
can I use this one in a sewing machine? I ask is because I saw it a little bigger then normally i bought. Thank you,yesno,i bought it and i have it at my house. i also bought big pony bead that turn color at night they are on the back table before you go out the back door on to the backyayard,NA,"[0, 3]",0
Just what exactly is it made of? It says high-quality wood. Is it a laminate? Is it particleboard? Is it MDF?,descriptive,pressed wood. It is nice wood and should last a long time if never gets wet. worth the price it is beautiful. takes a little bit to put together but not bad if spaced out the directions are fairly easy. good luck,NA,"[6, 6]",1
Just what exactly is it made of? It says high-quality wood. Is it a laminate? Is it particleboard? Is it MDF?,descriptive,"It's plywood--already painted. When you put it together, the rooms are completely decorated. It's very sturdy and stable. Definitely well built. Holds up well with a lot of ordinary usage. The girls love it.",NA,"[7, 8]",0
Just what exactly is it made of? It says high-quality wood. Is it a laminate? Is it particleboard? Is it MDF?,descriptive,We really think wood with some type of pattered laminate overlay.  It was too heavy to be particleboard.  We have put it in storage and trying to remember.  I thought it was better than our local craft and hobby store could offer.  Our daughter played with it every day. Highly recommend and would purchase again.  My husband is very handy and it did take a little over half a day to assemble. Hope this helped,NA,"[5, 6]",0
Hello in the package are included the furniture ? Thank you,descriptive,"Furniture were not included!I bought the furnitures separate, spent a lot of monies and was not happy because some of it was broken and poorly made. At least one broken piece in every set.  I kept it and fixed it myself to avoid the hassle of returning it! Love the doll house though. Phuong",NA,"[2, 2]",1
Hello in the package are included the furniture ? Thank you,descriptive,"Furniture definitely not included with doll house.   I bought a 7 piece doll set including parents, grandparents and 3 children.  They are very cute and holding up well.   I also bought bathroom furniture which is fine.  The rest of the furniture I had.  The doll house is really nice and worth the money in my opinion.   Margie",NA,"[2, 2]",1
what size dolls fit in it,descriptive,"The scale is 1inch to 1 foot, so Barbie dolls don't fit",NA,"[2, 2]",1
"Can the strips of 8 be removed from the box separately? For example, so three different kids can each have her own palette?",descriptive,Hey I'm sorry but I don't know the answer to that. I purchased these for my niece. Looking at it a little bit closer you could probably cut them into three different strips. I hope this helps.,NA,"[0, 3]",0
"$30 less than Ethnic Baby Alive Dolls This makes absolutely no sense to me. I want to buy a Baby Alive doll for my daughter, who happens to be mixed (caucasian and african-american), why is it that the Hispanic Baby Alive doll (which is the only one that looks like her), is $30 more than the white doll??? What sense does that make? This really infuriates me. Does it cost $30 dollars to pigment the dolls??? UGH!!!",descriptive,"I was looking for my daughter as well. However, I did want the caucasian doll. I did notice the price difference. What's up with that. I'd love to know their reasoning behind that one. Let us know if you find out. Target has it for the same price as the caucasian.",NA,"[2, 2]",1
"$30 less than Ethnic Baby Alive Dolls This makes absolutely no sense to me. I want to buy a Baby Alive doll for my daughter, who happens to be mixed (caucasian and african-american), why is it that the Hispanic Baby Alive doll (which is the only one that looks like her), is $30 more than the white doll??? What sense does that make? This really infuriates me. Does it cost $30 dollars to pigment the dolls??? UGH!!!",descriptive,"The price you are quoting is for the Interactive Baby Alive Doll, the one that cries and grunts and goos. The plain old baby Alive Doll is the same price, no matter the race. Be sure you clean her out, well after she eats or she will mold inside.",NA,"[2, 2]",1
